entry_id,user_id,period,income_x,expense_amount,category,priority_flag,cutoff_rate,cutoff_note,currency,total_expenses,income_y,expense_ratio,risk_flag
1,U001,2025-08,3974,448,Savings,high,0.13,Potential to reduce,RWF,2836,3974,0.7136386512330146,0
2,U001,2025-08,3974,271,Health,non_negotiable,0.0,-,RWF,2836,3974,0.7136386512330146,0
3,U001,2025-08,3974,40,Subscriptions,low,0.12,Potential to reduce,RWF,2836,3974,0.7136386512330146,0
4,U001,2025-08,3974,260,Clothing,medium,0.09,Potential to reduce,RWF,2836,3974,0.7136386512330146,0
5,U001,2025-08,3974,658,Housing (Rent),non_negotiable,0.0,-,RWF,2836,3974,0.7136386512330146,0
6,U001,2025-08,3974,107,Subscriptions,low,0.2,Potential to reduce,RWF,2836,3974,0.7136386512330146,0
7,U001,2025-08,3974,153,Other,medium,0.37,Potential to reduce,RWF,2836,3974,0.7136386512330146,0
8,U001,2025-08,3974,199,Clothing,medium,0.08,Potential to reduce,RWF,2836,3974,0.7136386512330146,0
9,U001,2025-08,3974,137,Clothing,medium,0.42,Potential to reduce,RWF,2836,3974,0.7136386512330146,0
10,U001,2025-08,3974,87,Clothing,medium,0.05,Potential to reduce,RWF,2836,3974,0.7136386512330146,0
11,U001,2025-08,3974,476,Health,non_negotiable,0.0,-,RWF,2836,3974,0.7136386512330146,0
12,U002,2025-08,1984,659,Health,non_negotiable,0.0,-,RWF,3914,1984,1.9727822580645162,1
13,U002,2025-08,1984,413,Savings,high,0.29,Potential to reduce,RWF,3914,1984,1.9727822580645162,1
14,U002,2025-08,1984,108,Subscriptions,low,0.18,Potential to reduce,RWF,3914,1984,1.9727822580645162,1
15,U002,2025-08,1984,158,Savings,high,0.23,Potential to reduce,RWF,3914,1984,1.9727822580645162,1
16,U002,2025-08,1984,675,Insurance,non_negotiable,0.0,-,RWF,3914,1984,1.9727822580645162,1
17,U002,2025-08,1984,389,Housing (Rent),non_negotiable,0.0,-,RWF,3914,1984,1.9727822580645162,1
18,U002,2025-08,1984,239,Clothing,medium,0.4,Potential to reduce,RWF,3914,1984,1.9727822580645162,1
19,U002,2025-08,1984,100,Other,medium,0.22,Potential to reduce,RWF,3914,1984,1.9727822580645162,1
20,U002,2025-08,1984,83,Subscriptions,low,0.26,Potential to reduce,RWF,3914,1984,1.9727822580645162,1
21,U002,2025-08,1984,684,Health,non_negotiable,0.0,-,RWF,3914,1984,1.9727822580645162,1
22,U002,2025-08,1984,406,Savings,high,0.36,Potential to reduce,RWF,3914,1984,1.9727822580645162,1
23,U003,2025-08,3688,266,Savings,high,0.06,Potential to reduce,RWF,4080,3688,1.1062906724511932,1
24,U003,2025-08,3688,108,Subscriptions,low,0.48,Potential to reduce,RWF,4080,3688,1.1062906724511932,1
25,U003,2025-08,3688,341,Food,high,0.22,Potential to reduce,RWF,4080,3688,1.1062906724511932,1
26,U003,2025-08,3688,545,Health,non_negotiable,0.0,-,RWF,4080,3688,1.1062906724511932,1
27,U003,2025-08,3688,764,Housing (Rent),non_negotiable,0.0,-,RWF,4080,3688,1.1062906724511932,1
28,U003,2025-08,3688,539,Insurance,non_negotiable,0.0,-,RWF,4080,3688,1.1062906724511932,1
29,U003,2025-08,3688,291,Housing (Rent),non_negotiable,0.0,-,RWF,4080,3688,1.1062906724511932,1
30,U003,2025-08,3688,466,Transport,high,0.36,Potential to reduce,RWF,4080,3688,1.1062906724511932,1
31,U003,2025-08,3688,221,Clothing,medium,0.27,Potential to reduce,RWF,4080,3688,1.1062906724511932,1
32,U003,2025-08,3688,234,Health,non_negotiable,0.0,-,RWF,4080,3688,1.1062906724511932,1
33,U003,2025-08,3688,305,Food,high,0.23,Potential to reduce,RWF,4080,3688,1.1062906724511932,1
34,U004,2025-08,2385,587,Housing (Rent),non_negotiable,0.0,-,RWF,2830,2385,1.1865828092243187,1
35,U004,2025-08,2385,21,Entertainment,low,0.24,Potential to reduce,RWF,2830,2385,1.1865828092243187,1
36,U004,2025-08,2385,73,Entertainment,low,0.3,Potential to reduce,RWF,2830,2385,1.1865828092243187,1
37,U004,2025-08,2385,409,Food,high,0.06,Potential to reduce,RWF,2830,2385,1.1865828092243187,1
38,U004,2025-08,2385,317,Education,high,0.25,Potential to reduce,RWF,2830,2385,1.1865828092243187,1
39,U004,2025-08,2385,401,Insurance,non_negotiable,0.0,-,RWF,2830,2385,1.1865828092243187,1
40,U004,2025-08,2385,469,Health,non_negotiable,0.0,-,RWF,2830,2385,1.1865828092243187,1
41,U004,2025-08,2385,144,Clothing,medium,0.46,Potential to reduce,RWF,2830,2385,1.1865828092243187,1
42,U004,2025-08,2385,249,Clothing,medium,0.31,Potential to reduce,RWF,2830,2385,1.1865828092243187,1
43,U004,2025-08,2385,59,Entertainment,low,0.43,Potential to reduce,RWF,2830,2385,1.1865828092243187,1
44,U004,2025-08,2385,101,Entertainment,low,0.29,Potential to reduce,RWF,2830,2385,1.1865828092243187,1
45,U005,2025-08,1591,316,Food,high,0.18,Potential to reduce,RWF,3104,1591,1.9509742300439974,1
46,U005,2025-08,1591,479,Transport,high,0.17,Potential to reduce,RWF,3104,1591,1.9509742300439974,1
47,U005,2025-08,1591,256,Education,high,0.41,Potential to reduce,RWF,3104,1591,1.9509742300439974,1
48,U005,2025-08,1591,164,Transport,high,0.06,Potential to reduce,RWF,3104,1591,1.9509742300439974,1
49,U005,2025-08,1591,108,Education,high,0.4,Potential to reduce,RWF,3104,1591,1.9509742300439974,1
50,U005,2025-08,1591,671,Health,non_negotiable,0.0,-,RWF,3104,1591,1.9509742300439974,1
51,U005,2025-08,1591,162,Education,high,0.42,Potential to reduce,RWF,3104,1591,1.9509742300439974,1
52,U005,2025-08,1591,100,Entertainment,low,0.37,Potential to reduce,RWF,3104,1591,1.9509742300439974,1
53,U005,2025-08,1591,388,Savings,high,0.32,Potential to reduce,RWF,3104,1591,1.9509742300439974,1
54,U005,2025-08,1591,60,Subscriptions,low,0.46,Potential to reduce,RWF,3104,1591,1.9509742300439974,1
55,U005,2025-08,1591,400,Insurance,non_negotiable,0.0,-,RWF,3104,1591,1.9509742300439974,1
56,U006,2025-08,2663,367,Education,high,0.2,Potential to reduce,RWF,3879,2663,1.4566278633120542,1
57,U006,2025-08,2663,97,Other,medium,0.22,Potential to reduce,RWF,3879,2663,1.4566278633120542,1
58,U006,2025-08,2663,161,Education,high,0.2,Potential to reduce,RWF,3879,2663,1.4566278633120542,1
59,U006,2025-08,2663,118,Subscriptions,low,0.32,Potential to reduce,RWF,3879,2663,1.4566278633120542,1
60,U006,2025-08,2663,746,Insurance,non_negotiable,0.0,-,RWF,3879,2663,1.4566278633120542,1
61,U006,2025-08,2663,661,Health,non_negotiable,0.0,-,RWF,3879,2663,1.4566278633120542,1
62,U006,2025-08,2663,180,Other,medium,0.39,Potential to reduce,RWF,3879,2663,1.4566278633120542,1
63,U006,2025-08,2663,161,Entertainment,low,0.27,Potential to reduce,RWF,3879,2663,1.4566278633120542,1
64,U006,2025-08,2663,492,Transport,high,0.37,Potential to reduce,RWF,3879,2663,1.4566278633120542,1
65,U006,2025-08,2663,753,Housing (Rent),non_negotiable,0.0,-,RWF,3879,2663,1.4566278633120542,1
66,U006,2025-08,2663,143,Subscriptions,low,0.1,Potential to reduce,RWF,3879,2663,1.4566278633120542,1
67,U007,2025-08,1663,440,Health,non_negotiable,0.0,-,RWF,3454,1663,2.0769693325315695,1
68,U007,2025-08,1663,101,Clothing,medium,0.3,Potential to reduce,RWF,3454,1663,2.0769693325315695,1
69,U007,2025-08,1663,487,Education,high,0.46,Potential to reduce,RWF,3454,1663,2.0769693325315695,1
70,U007,2025-08,1663,170,Subscriptions,low,0.32,Potential to reduce,RWF,3454,1663,2.0769693325315695,1
71,U007,2025-08,1663,242,Education,high,0.39,Potential to reduce,RWF,3454,1663,2.0769693325315695,1
